lineup,normalized_lineup,rating,include_in_optimizer,note
Luka/Reaves/Grimes/LaRavia/Kessler,Grimes/Kessler/LaRavia/Luka/Reaves,11.64,true,
Luka/Grimes/LaRavia/Sandro/Kessler,Grimes/Kessler/LaRavia/Luka/Sandro,10.71,true,
Luka/Grimes/Sexton/LaRavia/Kessler,Grimes/Kessler/LaRavia/Luka/Sexton,3.87,true,
Luka/Grimes/Thiero/LaRavia/Kessler,Grimes/Kessler/LaRavia/Luka/Thiero,5.4,true,
Luka/Grimes/LaRavia/Vanderbilt/Kessler,Grimes/Kessler/LaRavia/Luka/Vanderbilt,6.05,true,
Luka/Grimes/Ziaire/LaRavia/Kessler,Grimes/Kessler/LaRavia/Luka/Ziaire,3.27,true,
Reaves/Grimes/LaRavia/Sandro/Kessler,Grimes/Kessler/LaRavia/Reaves/Sandro,7.07,true,
Reaves/Grimes/Sexton/LaRavia/Kessler,Grimes/Kessler/LaRavia/Reaves/Sexton,5.4,true,
Reaves/Grimes/LaRavia/Vanderbilt/Kessler,Grimes/Kessler/LaRavia/Reaves/Vanderbilt,4.21,true,
Reaves/Grimes/Ziaire/LaRavia/Kessler,Grimes/Kessler/LaRavia/Reaves/Ziaire,7.44,true,
Luka/Reaves/Grimes/Kessler/Looney,Grimes/Kessler/Looney/Luka/Reaves,9.01,true,
Luka/Reaves/Grimes/Sandro/Kessler,Grimes/Kessler/Luka/Reaves/Sandro,12.91,true,
Luka/Reaves/Grimes/Sexton/Kessler,Grimes/Kessler/Luka/Reaves/Sexton,5.3,true,
Luka/Reaves/Grimes/Thiero/Kessler,Grimes/Kessler/Luka/Reaves/Thiero,9.0,true,
Luka/Reaves/Grimes/Vanderbilt/Kessler,Grimes/Kessler/Luka/Reaves/Vanderbilt,9.49,true,
Luka/Reaves/Grimes/Ziaire/Kessler,Grimes/Kessler/Luka/Reaves/Ziaire,7.66,true,
Luka/Sexton/Grimes/Sandro/Kessler,Grimes/Kessler/Luka/Sandro/Sexton,6.84,true,
Luka/Grimes/Thiero/Sandro/Kessler,Grimes/Kessler/Luka/Sandro/Thiero,13.0,true,
Luka/Grimes/Vanderbilt/Sandro/Kessler,Grimes/Kessler/Luka/Sandro/Vanderbilt,8.63,true,
Luka/Grimes/Ziaire/Sandro/Kessler,Grimes/Kessler/Luka/Sandro/Ziaire,8.21,true,
Luka/Sexton/Grimes/Vanderbilt/Kessler,Grimes/Kessler/Luka/Sexton/Vanderbilt,8.11,true,
Luka/Grimes/Thiero/Vanderbilt/Kessler,Grimes/Kessler/Luka/Thiero/Vanderbilt,4.37,true,
Luka/Grimes/Ziaire/Vanderbilt/Kessler,Grimes/Kessler/Luka/Vanderbilt/Ziaire,6.75,true,
Reaves/Grimes/Sexton/Sandro/Kessler,Grimes/Kessler/Reaves/Sandro/Sexton,5.29,true,
Reaves/Grimes/Thiero/Sandro/Kessler,Grimes/Kessler/Reaves/Sandro/Thiero,2.89,true,
Reaves/Grimes/Vanderbilt/Sandro/Kessler,Grimes/Kessler/Reaves/Sandro/Vanderbilt,4.99,true,
Reaves/Grimes/Ziaire/Sandro/Kessler,Grimes/Kessler/Reaves/Sandro/Ziaire,8.13,true,
Reaves/Sexton/Grimes/Vanderbilt/Kessler,Grimes/Kessler/Reaves/Sexton/Vanderbilt,5.94,true,
Reaves/Grimes/Thiero/Vanderbilt/Kessler,Grimes/Kessler/Reaves/Thiero/Vanderbilt,1.76,true,
Luka/Grimes/LaRavia/Sandro/Looney,Grimes/LaRavia/Looney/Luka/Sandro,10.08,true,
Luka/Grimes/LaRavia/Vanderbilt/Looney,Grimes/LaRavia/Looney/Luka/Vanderbilt,11.09,true,
Reaves/Grimes/LaRavia/Sandro/Looney,Grimes/LaRavia/Looney/Reaves/Sandro,10.75,true,
Reaves/Sexton/Grimes/LaRavia/Looney,Grimes/LaRavia/Looney/Reaves/Sexton,2.8,true,
Reaves/Grimes/LaRavia/Vanderbilt/Looney,Grimes/LaRavia/Looney/Reaves/Vanderbilt,8.61,true,
Luka/Reaves/Grimes/LaRavia/Sandro,Grimes/LaRavia/Luka/Reaves/Sandro,8.81,true,
Luka/Reaves/Grimes/Sexton/LaRavia,Grimes/LaRavia/Luka/Reaves/Sexton,-0.02,true,
Luka/Grimes/LaRavia/Vanderbilt/Sandro,Grimes/LaRavia/Luka/Sandro/Vanderbilt,5.43,true,
Luka/Reaves/Grimes/Sandro/Looney,Grimes/Looney/Luka/Reaves/Sandro,11.1,true,
Luka/Reaves/Grimes/Thiero/Looney,Grimes/Looney/Luka/Reaves/Thiero,4.1,true,
Luka/Reaves/Grimes/Vanderbilt/Looney,Grimes/Looney/Luka/Reaves/Vanderbilt,6.14,true,
Luka/Sexton/Grimes/Sandro/Looney,Grimes/Looney/Luka/Sandro/Sexton,8.91,true,
Luka/Grimes/Vanderbilt/Sandro/Looney,Grimes/Looney/Luka/Sandro/Vanderbilt,10.08,true,
Luka/Grimes/Ziaire/Sandro/Looney,Grimes/Looney/Luka/Sandro/Ziaire,5.03,true,
Luka/Grimes/Ziaire/Vanderbilt/Looney,Grimes/Looney/Luka/Vanderbilt/Ziaire,4.07,true,
Reaves/Sexton/Grimes/Sandro/Looney,Grimes/Looney/Reaves/Sandro/Sexton,9.13,true,
Reaves/Grimes/Thiero/Sandro/Looney,Grimes/Looney/Reaves/Sandro/Thiero,7.28,true,
Reaves/Grimes/Vanderbilt/Sandro/Looney,Grimes/Looney/Reaves/Sandro/Vanderbilt,9.52,true,
Reaves/Grimes/Ziaire/Sandro/Looney,Grimes/Looney/Reaves/Sandro/Ziaire,4.37,true,
Reaves/Sexton/Grimes/Vanderbilt/Looney,Grimes/Looney/Reaves/Sexton/Vanderbilt,6.05,true,
Reaves/Grimes/Thiero/Vanderbilt/Looney,Grimes/Looney/Reaves/Thiero/Vanderbilt,6.37,true,
Reaves/Grimes/Ziaire/Vanderbilt/Looney,Grimes/Looney/Reaves/Vanderbilt/Ziaire,2.71,true,
Luka/Reaves/Grimes/Sexton/Sandro,Grimes/Luka/Reaves/Sandro/Sexton,10.88,true,
Luka/Reaves/Grimes/Thiero/Sandro,Grimes/Luka/Reaves/Sandro/Thiero,5.82,true,
Luka/Reaves/Grimes/Vanderbilt/Sandro,Grimes/Luka/Reaves/Sandro/Vanderbilt,10.48,true,
Luka/Reaves/Grimes/Thiero/Vanderbilt,Grimes/Luka/Reaves/Thiero/Vanderbilt,3.16,true,
Luka/Reaves/LaRavia/Sandro/Kessler,Kessler/LaRavia/Luka/Reaves/Sandro,11.36,true,
Luka/Reaves/Sexton/LaRavia/Kessler,Kessler/LaRavia/Luka/Reaves/Sexton,7.79,true,
Luka/Reaves/LaRavia/Thiero/Kessler,Kessler/LaRavia/Luka/Reaves/Thiero,5.28,true,
Luka/Reaves/Vanderbilt/LaRavia/Kessler,Kessler/LaRavia/Luka/Reaves/Vanderbilt,9.41,true,
Luka/Sexton/LaRavia/Sandro/Kessler,Kessler/LaRavia/Luka/Sandro/Sexton,4.88,true,
Luka/Sexton/LaRavia/Vanderbilt/Kessler,Kessler/LaRavia/Luka/Sexton/Vanderbilt,6.13,true,
Reaves/Sexton/LaRavia/Sandro/Kessler,Kessler/LaRavia/Reaves/Sandro/Sexton,3.77,true,
Reaves/LaRavia/Thiero/Sandro/Kessler,Kessler/LaRavia/Reaves/Sandro/Thiero,7.23,true,
Reaves/LaRavia/Vanderbilt/Sandro/Kessler,Kessler/LaRavia/Reaves/Sandro/Vanderbilt,2.32,true,
Reaves/Sexton/Thiero/LaRavia/Kessler,Kessler/LaRavia/Reaves/Sexton/Thiero,2.15,true,
Reaves/Sexton/LaRavia/Vanderbilt/Kessler,Kessler/LaRavia/Reaves/Sexton/Vanderbilt,10.55,true,
Luka/Reaves/Sexton/Sandro/Kessler,Kessler/Luka/Reaves/Sandro/Sexton,7.76,true,
Luka/Reaves/Thiero/Sandro/Kessler,Kessler/Luka/Reaves/Sandro/Thiero,11.56,true,
Luka/Reaves/Vanderbilt/Sandro/Kessler,Kessler/Luka/Reaves/Sandro/Vanderbilt,14.01,true,
Luka/Reaves/Ziaire/Sandro/Kessler,Kessler/Luka/Reaves/Sandro/Ziaire,5.4,true,
Luka/Reaves/Sexton/Vanderbilt/Kessler,Kessler/Luka/Reaves/Sexton/Vanderbilt,6.98,true,
Luka/Reaves/Vanderbilt/Thiero/Kessler,Kessler/Luka/Reaves/Thiero/Vanderbilt,7.13,true,
Luka/Reaves/Ziaire/Vanderbilt/Kessler,Kessler/Luka/Reaves/Vanderbilt/Ziaire,7.23,true,
Luka/Sexton/Thiero/Sandro/Kessler,Kessler/Luka/Sandro/Sexton/Thiero,4.96,true,
Luka/Sexton/Vanderbilt/Sandro/Kessler,Kessler/Luka/Sandro/Sexton/Vanderbilt,7.69,true,
Reaves/Sexton/Thiero/Sandro/Kessler,Kessler/Reaves/Sandro/Sexton/Thiero,4.14,true,
Reaves/Sexton/Vanderbilt/Sandro/Kessler,Kessler/Reaves/Sandro/Sexton/Vanderbilt,5.31,true,
Reaves/Sexton/Thiero/Vanderbilt/Kessler,Kessler/Reaves/Sexton/Thiero/Vanderbilt,3.04,true,
Luka/Reaves/LaRavia/Sandro/Looney,LaRavia/Looney/Luka/Reaves/Sandro,9.83,true,
Luka/Sexton/LaRavia/Vanderbilt/Looney,LaRavia/Looney/Luka/Sexton/Vanderbilt,2.45,true,
Reaves/LaRavia/Thiero/Sandro/Looney,LaRavia/Looney/Reaves/Sandro/Thiero,6.62,true,
Reaves/LaRavia/Vanderbilt/Sandro/Looney,LaRavia/Looney/Reaves/Sandro/Vanderbilt,3.6,true,
Reaves/Sexton/LaRavia/Vanderbilt/Looney,LaRavia/Looney/Reaves/Sexton/Vanderbilt,2.51,true,
Reaves/Sexton/Ziaire/LaRavia/Looney,LaRavia/Looney/Reaves/Sexton/Ziaire,-0.11,true,
Luka/Reaves/Sexton/LaRavia/Sandro,LaRavia/Luka/Reaves/Sandro/Sexton,7.83,true,
Luka/Reaves/LaRavia/Vanderbilt/Sandro,LaRavia/Luka/Reaves/Sandro/Vanderbilt,10.13,true,
Luka/Reaves/Sexton/Sandro/Looney,Looney/Luka/Reaves/Sandro/Sexton,10.83,true,
Luka/Reaves/Vanderbilt/Sandro/Looney,Looney/Luka/Reaves/Sandro/Vanderbilt,10.2,true,
Luka/Reaves/Ziaire/Sandro/Looney,Looney/Luka/Reaves/Sandro/Ziaire,9.54,true,
Reaves/Sexton/Vanderbilt/Sandro/Looney,Looney/Reaves/Sandro/Sexton/Vanderbilt,6.88,true,
Reaves/Sexton/Ziaire/Vanderbilt/Looney,Looney/Reaves/Sexton/Vanderbilt/Ziaire,1.5,true,
Luka/Reaves/Sexton/Vanderbilt/Sandro,Luka/Reaves/Sandro/Sexton/Vanderbilt,9.23,true,
Luka/Reaves/Ziaire/Vanderbilt/Sandro,Luka/Reaves/Sandro/Vanderbilt/Ziaire,7.59,true,
